roi_id,centroid_row,centroid_col,Channel_1_Mean,Channel_2_Mean,Channel_3_Mean,Channel_4_Mean,Channel_5_Mean,Channel_6_Mean,Channel_7_Mean,Channel_8_Mean,Channel_9_Mean,Channel_10_Mean,Channel_11_Mean,Channel_12_Mean,Channel_13_Mean,Channel_14_Mean,Channel_15_Mean
1,208.40718562874252,340.34730538922156,0.0,0.562874251497006,1.3972055888223553,3.2534930139720557,3.2015968063872258,2.4231536926147705,2.035928143712575,2.0558882235528944,0.3333333333333333,3.245508982035928,27.407185628742514,44.10179640718563,48.10379241516966,44.44311377245509,34.82235528942116
2,223.80901856763927,330.49336870026525,0.0,0.8275862068965517,2.419098143236074,6.143236074270557,6.127320954907161,4.437665782493369,3.273209549071618,3.0954907161803713,0.4880636604774536,4.0557029177718835,33.9920424403183,56.315649867374006,61.790450928381965,56.09814323607427,44.238726790450926
3,237.77225130890054,318.0183246073298,0.0,0.7696335078534031,2.0026178010471205,4.81151832460733,4.9162303664921465,3.3952879581151834,2.8403141361256545,2.581151832460733,0.3900523560209424,3.0340314136125652,24.285340314136125,39.79319371727749,43.455497382198956,39.40052356020942,31.18586387434555
4,256.44290657439444,315.3910034602076,0.0,1.0311418685121108,3.2387543252595155,9.0,9.629757785467127,6.370242214532872,4.7543252595155705,4.13840830449827,0.6124567474048442,3.7301038062283736,32.19031141868512,51.20415224913495,57.6643598615917,52.21107266435986,41.294117647058826
5,262.4579646017699,292.7234513274336,0.0,1.747787610619469,6.980088495575221,21.70575221238938,23.25,15.188053097345133,10.524336283185841,8.185840707964601,1.0641592920353982,3.893805309734513,31.042035398230087,49.530973451327434,55.30530973451327,49.95796460176991,39.52433628318584
6,275.25142857142856,279.98,0.0,2.3857142857142857,11.088571428571429,34.05714285714286,36.857142857142854,23.622857142857143,16.574285714285715,12.4,1.34,2.9114285714285715,19.954285714285714,31.025714285714287,34.02285714285714,31.374285714285715,25.231428571428573
7,290.030487804878,268.780487804878,0.0,2.5884146341463414,12.475609756097562,40.045731707317074,42.39329268292683,27.067073170731707,19.003048780487806,13.603658536585366,1.5884146341463414,3.6554878048780486,28.246951219512194,44.22560975609756,47.60060975609756,44.042682926829265,34.10060975609756
8,309.6777777777778,268.4194444444444,0.0,2.297222222222222,9.997222222222222,31.291666666666668,34.169444444444444,21.32777777777778,15.125,11.241666666666667,1.2277777777777779,2.227777777777778,13.052777777777777,19.21388888888889,20.758333333333333,19.158333333333335,15.091666666666667
9,324.9913644214162,248.48704663212436,0.0,3.324697754749568,17.9153713298791,58.490500863557855,63.01036269430052,39.64594127806563,27.08981001727116,20.13644214162349,1.9758203799654577,2.4749568221070812,13.29706390328152,17.568221070811745,18.97582037996546,16.963730569948186,13.785837651122625
10,348.4929328621908,225.9982332155477,0.0,3.1554770318021204,16.379858657243815,52.49293286219081,56.87809187279152,36.3886925795053,25.166077738515902,18.570671378091873,1.8869257950530036,2.697879858657244,15.524734982332156,22.586572438162545,24.401060070671377,21.906360424028268,17.918727915194346
11,378.3383742911153,212.9092627599244,0.0,2.3610586011342156,11.241965973534972,35.08506616257089,37.523629489603024,24.40453686200378,16.742911153119092,12.372400756143668,1.3100189035916825,2.060491493383743,10.351606805293006,13.551984877126655,14.253308128544424,12.93383742911153,10.863894139886579
12,399.4273356401384,203.7975778546713,0.0,1.972318339100346,8.536332179930795,25.608996539792386,27.37370242214533,17.676470588235293,12.617647058823529,9.461937716262975,1.0034602076124568,1.679930795847751,8.910034602076125,12.33044982698962,13.269896193771626,12.181660899653979,10.140138408304498
13,433.84550084889645,214.5704584040747,0.0,2.232597623089983,9.045840407470289,27.806451612903224,29.91680814940577,19.470288624787777,13.723259762308999,10.230899830220713,1.1714770797962648,1.7232597623089982,8.427843803056026,10.735144312393889,11.320882852292021,10.421052631578947,8.548387096774194
14,460.3698924731183,211.3978494623656,0.0,2.3268817204301073,9.348387096774193,27.86021505376344,30.023655913978494,19.13978494623656,13.438709677419356,10.019354838709678,1.0946236559139786,1.8301075268817204,8.387096774193548,10.883870967741936,11.643010752688172,10.61505376344086,8.881720430107526
15,487.15575221238936,202.15398230088496,0.0,2.0088495575221237,7.7132743362831855,23.1858407079646,24.582300884955753,16.2070796460177,11.5929203539823,8.543362831858406,0.9946902654867257,1.7150442477876107,8.60353982300885,11.415929203539823,12.490265486725663,11.623008849557522,9.55929203539823
16,515.495,207.15166666666667,0.0,2.1366666666666667,8.856666666666667,26.458333333333332,28.545,18.525,12.965,9.846666666666666,1.2166666666666666,1.665,8.058333333333334,10.423333333333334,10.733333333333333,9.898333333333333,8.101666666666667
17,580.0008620689655,211.2543103448276,0.0,9.47844827586207,58.16379310344828,192.08275862068965,206.75862068965517,136.7939655172414,93.25948275862069,67.51810344827587,6.271551724137931,6.294827586206897,33.00258620689655,29.49137931034483,24.251724137931035,19.88706896551724,14.982758620689655
18,629.8072805139186,250.59528907922913,0.0,4.428265524625267,24.865096359743042,82.11777301927195,89.8051391862955,56.4882226980728,38.46680942184154,28.404710920770878,2.766595289079229,3.235546038543897,17.079229122055676,21.52676659528908,22.5203426124197,20.582441113490365,16.7237687366167
19,645.4129496402878,266.631654676259,0.0,4.909352517985612,27.70071942446043,91.55395683453237,100.43741007194245,63.45035971223022,43.8431654676259,31.93525179856115,3.0892086330935253,3.466187050359712,17.592805755395684,17.80431654676259,16.207194244604317,14.473381294964028,11.584172661870504
20,666.7966666666666,276.17,0.0,5.583333333333333,32.075,107.40666666666667,118.09833333333333,74.06666666666666,50.74333333333333,37.045,3.5166666666666666,3.7466666666666666,19.956666666666667,20.043333333333333,18.666666666666668,16.411666666666665,12.951666666666666
21,679.5790554414784,296.2628336755647,0.0,3.7946611909650922,21.012320328542096,69.06365503080082,75.29774127310061,47.3388090349076,32.85215605749487,24.689938398357288,2.414784394250513,2.8603696098562628,14.324435318275153,16.86652977412731,16.975359342915812,15.369609856262834,12.474332648870636
