roi_id,centroid,Channel_1_Mean,Channel_2_Mean,Channel_3_Mean,Channel_4_Mean,Channel_5_Mean,Channel_6_Mean,Channel_7_Mean,Channel_8_Mean,Channel_9_Mean,Channel_10_Mean,Channel_11_Mean,Channel_12_Mean,Channel_13_Mean,Channel_14_Mean,Channel_15_Mean
1,"(np.float64(264.8378378378378), np.float64(245.54054054054055))",0.0,1.8918918918918919,14.891891891891891,49.567567567567565,55.567567567567565,34.351351351351354,22.54054054054054,16.135135135135137,0.8648648648648649,0.7027027027027027,7.648648648648648,5.783783783783784,5.108108108108108,4.108108108108108,3.054054054054054
2,"(np.float64(333.2900641025641), np.float64(226.97596153846155))",0.0,2.4326923076923075,17.546474358974358,58.97716346153846,64.2764423076923,40.16386217948718,27.332932692307693,19.79326923076923,1.0849358974358974,1.3842147435897436,11.23798076923077,12.70673076923077,12.302083333333334,10.641826923076923,8.36338141025641
3,"(np.float64(339.8181818181818), np.float64(255.04545454545453))",0.0,2.3181818181818183,14.090909090909092,48.54545454545455,54.31818181818182,32.0,22.59090909090909,16.318181818181817,0.9090909090909091,1.0,8.681818181818182,7.090909090909091,6.318181818181818,5.0,3.8181818181818183
4,"(np.float64(639.1153335376443), np.float64(288.50978990022816))",0.0,4.103960227466204,28.38955289951306,97.02244015391426,106.23458303537984,67.0019409541322,45.61007253039126,32.87952463649675,2.2802805870534955,2.3839002962508937,15.885790172642762,14.453978955970987,12.038308305240577,9.872509960159363,7.385364524806756
5,"(np.float64(541.725), np.float64(334.975))",0.0,2.25,14.95,51.175,55.075,33.825,24.275,16.85,0.95,1.175,8.475,6.375,4.625,3.85,2.325
6,"(np.float64(658.4903846153846), np.float64(425.59615384615387))",0.0,2.326923076923077,15.259615384615385,52.85576923076923,58.23076923076923,36.72115384615385,25.58653846153846,18.509615384615383,0.9326923076923077,0.9903846153846154,8.48076923076923,7.009615384615385,5.038461538461538,4.028846153846154,2.644230769230769
